gemeratopm, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 1.000000, 0.000000, 0.250000, 0.500000
2, 2.000000, 0.000000, 1.000000, 1.414214
3, 4.000000, 0.000000, 2.000000, 2.828427
