gemeratopm, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 0.266667, 0.000000, 0.116667, 0.113855
2, 0.200000, 0.000000, 0.100000, 0.141421
3, 0.500000, 0.000000, 0.250000, 0.353553
